TimeStamp,Td,RH
timestamp,degC,%
2022-07-01 05:30:00,11.3,92.1
2022-07-01 05:35:00,11.42,91.8
2022-07-01 05:40:00,11.57,91.2
2022-07-01 05:45:00,11.56,90.4
2022-07-01 05:50:00,11.88,90.1
2022-07-01 05:55:00,11.78,88.9
2022-07-01 06:00:00,11.73,88.8
2022-07-01 06:05:00,11.78,88.5
2022-07-01 06:10:00,11.99,88.0
2022-07-01 06:15:00,12.04,87.1
2022-07-01 06:20:00,12.24,86.6
2022-07-01 06:25:00,12.47,86.2
2022-07-01 06:30:00,12.61,85.5
2022-07-01 06:35:00,12.92,85.0
2022-07-01 06:40:00,12.92,84.0
2022-07-01 06:45:00,13.03,83.3
2022-07-01 06:50:00,13.48,83.0
2022-07-01 06:55:00,13.7,82.3
2022-07-01 07:00:00,13.42,80.9
2022-07-01 07:05:00,13.43,81.6
2022-07-01 07:10:00,13.46,81.9
2022-07-01 07:15:00,13.65,81.3
2022-07-01 07:20:00,13.91,80.8
2022-07-01 07:25:00,14.01,79.3
2022-07-01 07:30:00,14.37,80.1
2022-07-01 07:35:00,14.22,79.0
2022-07-01 07:40:00,14.38,78.6
2022-07-01 07:45:00,14.19,77.9
2022-07-01 07:50:00,14.98,77.0
2022-07-01 07:55:00,14.89,75.0
2022-07-01 08:00:00,15.24,74.7
2022-07-01 08:05:00,15.18,74.2
2022-07-01 08:10:00,15.74,73.3
2022-07-01 08:15:00,15.84,71.8
2022-07-01 08:20:00,16.35,70.4
2022-07-01 08:25:00,16.39,69.1
2022-07-01 08:30:00,16.61,69.2
2022-07-01 08:35:00,16.67,68.6
2022-07-01 08:40:00,17.0,67.7
2022-07-01 08:45:00,16.88,66.7
2022-07-01 08:50:00,17.01,62.3
2022-07-01 08:55:00,17.53,64.0
2022-07-01 09:00:00,17.36,62.8
2022-07-01 09:05:00,17.34,62.0
2022-07-01 09:10:00,17.41,62.5
2022-07-01 09:15:00,16.95,64.6
2022-07-01 09:20:00,16.77,66.1
2022-07-01 09:25:00,17.17,62.9
2022-07-01 09:30:00,17.24,65.3
2022-07-01 09:35:00,16.8,64.3
2022-07-01 09:40:00,16.61,64.6
2022-07-01 09:45:00,16.63,65.4
2022-07-01 09:50:00,16.66,63.8
2022-07-01 09:55:00,16.28,67.1
2022-07-01 10:00:00,15.0,77.3
2022-07-01 10:05:00,14.63,82.1
2022-07-01 10:10:00,14.79,83.7
2022-07-01 10:15:00,15.23,84.3
2022-07-01 10:20:00,15.35,79.4
2022-07-01 10:25:00,15.39,76.8
2022-07-01 10:30:00,15.44,75.2
2022-07-01 10:35:00,15.6,76.5
2022-07-01 10:40:00,15.93,77.6
2022-07-01 10:45:00,16.2,75.2
2022-07-01 10:50:00,16.55,74.4
2022-07-01 10:55:00,16.58,71.3
2022-07-01 11:00:00,16.47,73.5
2022-07-01 11:05:00,16.62,74.0
2022-07-01 11:10:00,16.67,71.0
2022-07-01 11:15:00,17.05,68.9
2022-07-01 11:20:00,17.15,68.8
2022-07-01 11:25:00,17.59,65.8
2022-07-01 11:30:00,17.63,64.6
2022-07-01 11:35:00,17.87,62.8
2022-07-01 11:40:00,17.55,61.1
2022-07-01 11:45:00,17.64,60.9
2022-07-01 11:50:00,17.81,60.3
2022-07-01 11:55:00,18.3,60.4
2022-07-01 12:00:00,18.52,59.4
2022-07-01 12:05:00,18.49,55.2
2022-07-01 12:10:00,18.47,55.6
2022-07-01 12:15:00,18.43,52.5
2022-07-01 12:20:00,19.29,54.7
2022-07-01 12:25:00,19.53,50.6
2022-07-01 12:30:00,19.31,49.3
2022-07-01 12:35:00,18.65,49.9
